device,region,latency_ms,errors,cpu_percent,packet_loss_percent,status
core94,phl1,189,2,63,0.69,critical
edge95,phl1,46,2,69,0.15,warning
switch96,nyc2,69,0,34,0.77,ok
switch97,nyc2,98,2,51,0,warning
ap98,phl1,56,2,49,0,warning
ap99,nj1,11,1,69,0,ok
firewall100,phl1,62,1,46,0.64,ok
edge101,dc1,87,1,56,0.36,warning
edge102,nyc2,1,0,58,0,ok
core103,phl1,91,0,56,4.35,critical
switch104,nj1,7,0,21,4.9,critical
edge105,nj1,69,1,43,0,ok
firewall106,nyc1,100,2,31,0,warning
router107,dc1,42,2,29,0,warning
switch108,nyc2,98,9,53,0.84,critical
router109,nj1,75,1,23,0.36,ok
firewall110,phl1,89,0,60,1.38,warning
ap111,nyc2,87,1,22,0,warning
firewall112,nj1,31,4,15,1.65,warning
router113,nj1,62,0,56,4.49,critical
switch114,nyc2,39,0,40,1.56,warning
core115,nj1,62,0,82,0,warning
edge116,nj1,65,10,63,0,critical
firewall117,nyc2,89,0,20,2.84,critical
switch118,dc1,1,0,76,0.98,warning
edge119,phl1,38,1,71,0.49,warning
ap120,dc1,87,1,36,0,warning
ap121,nyc1,1,0,20,0.59,ok
edge122,nj1,46,1,69,0.96,warning
ap123,nyc1,1,0,17,0.64,ok
switch124,dc1,132,6,61,0,critical
firewall125,nj1,45,1,52,0.23,ok
switch126,dc1,22,1,41,0.78,ok
switch127,nj1,53,1,60,0.39,ok
edge128,phl1,39,0,72,0,warning
core129,nyc2,39,15,24,1.35,critical
core130,nyc1,85,0,50,1.4,warning
firewall131,nj1,13,0,50,0,ok
edge132,phl1,55,2,28,0.99,warning
core133,phl1,65,3,76,0.76,warning
ap134,nj1,118,1,32,0,warning
core135,nyc2,87,0,54,0,warning
ap136,nyc1,58,3,5,0.81,warning
firewall137,phl1,4,7,82,0,critical
switch138,dc1,13,1,22,0.1,ok
switch139,dc1,65,0,57,0.93,warning
core140,dc1,108,0,38,0.29,warning
ap141,nyc1,25,0,17,0,ok
router142,nyc1,210,0,46,0.88,critical
router143,nyc1,5,1,12,0.54,ok
router144,nj1,47,0,42,0.73,ok
switch145,nyc1,73,1,38,1.11,warning
edge146,nj1,135,2,89,0.05,critical
switch147,phl1,62,2,65,0,warning
edge148,nyc1,78,10,16,0,critical
ap149,nyc2,76,0,49,0,ok
core150,nyc2,36,2,12,0,warning
router151,dc1,89,0,79,0,warning
ap152,dc1,64,1,36,0.35,ok
ap153,dc1,40,2,28,0,warning
core154,nyc1,35,4,74,0.28,warning
ap155,dc1,32,0,70,0.16,ok
core156,phl1,60,0,20,0,ok
firewall157,nyc2,86,3,83,1.98,warning
core158,nj1,1,0,69,0.19,ok
router159,nyc2,37,0,56,2.26,critical
edge160,dc1,40,0,77,0,warning
edge161,nj1,1,4,53,0,warning
router162,nyc1,100,0,55,0,warning
edge163,phl1,20,0,53,0.21,ok
core164,nyc2,243,3,63,1.25,critical
firewall165,nyc1,56,4,39,0,warning
edge166,nj1,73,0,99,0,critical
firewall167,phl1,58,1,64,0.34,ok
router168,nyc2,69,0,54,0,ok
firewall169,phl1,86,1,57,1.3,warning
ap170,nyc2,40,1,59,0.88,warning
switch171,nyc1,28,1,34,0.16,ok
ap172,nj1,34,1,74,0,warning
router173,phl1,38,2,5,0.99,warning
edge174,dc1,57,0,36,0,ok
edge175,dc1,50,11,59,0.13,critical
firewall176,phl1,5,2,89,0,critical
core177,nyc1,13,0,89,0.47,critical
switch178,nyc2,6,6,70,0.33,critical
core179,phl1,64,0,67,0.37,ok
router180,nyc2,134,3,54,0.13,critical
edge181,nyc2,123,0,16,0.66,critical
firewall182,nyc1,55,2,46,0.06,warning
edge183,dc1,55,1,28,3.04,critical
core184,nj1,203,4,52,1.95,critical
core185,nyc2,60,4,34,0.69,warning
switch186,phl1,29,0,75,0.03,warning
switch187,phl1,30,2,48,0.9,warning
firewall188,phl1,93,0,57,0.79,warning
switch189,nyc2,63,0,44,1.44,warning
core190,nyc2,70,0,59,1.88,warning
core191,dc1,303,0,49,1.35,critical
router192,phl1,42,2,41,1.02,warning
core193,dc1,57,0,86,4.24,critical
firewall194,nj1,23,0,20,1.31,warning
ap195,dc1,52,4,35,0.43,warning
router196,nyc1,1,1,52,0.47,ok
router197,dc1,58,0,47,0.31,ok
firewall198,dc1,2,0,72,4.52,critical
firewall199,nyc2,61,1,63,0,ok
switch200,nyc2,57,3,50,0.13,warning
router201,phl1,79,1,25,0,ok
switch202,nyc1,26,2,81,1.07,warning
core203,nj1,116,0,38,0,warning
router204,phl1,269,0,73,0.18,critical
router205,nyc2,81,0,65,0,warning
edge206,dc1,233,0,68,0.65,critical
ap207,phl1,88,7,52,0,critical
router208,nyc2,6,14,71,0.91,critical
core209,phl1,123,0,16,0.8,critical
switch210,nyc1,12,9,22,0.08,critical
switch211,nyc2,186,2,73,0.28,critical
edge212,nyc2,51,2,45,0.98,warning
ap213,phl1,47,0,49,0.46,ok
core214,nyc2,65,0,82,0,warning
switch215,nj1,33,1,45,0,ok
firewall216,dc1,9,3,23,0.03,warning
core217,nyc2,110,1,92,0,critical
core218,phl1,37,0,49,0.13,ok
ap219,dc1,1,0,99,0.82,critical
switch220,phl1,45,0,70,1.2,warning
core221,dc1,85,0,59,0.69,warning
edge222,nj1,61,2,43,0.03,warning
edge223,phl1,164,3,39,1.11,critical
switch224,nyc2,100,5,51,0.08,critical
edge225,nyc2,107,0,37,1.04,warning
firewall226,nj1,74,3,64,2.25,critical
ap227,phl1,138,0,29,0.25,critical
edge228,nj1,5,0,32,0.06,ok
edge229,phl1,95,0,48,0.75,warning
firewall230,dc1,38,1,27,0,ok
ap231,nyc2,69,2,18,0,warning
core232,nyc1,90,0,39,0,warning
ap233,phl1,1,6,36,0.3,critical
router234,phl1,207,0,72,0.35,critical
switch235,nyc1,177,0,76,1.83,critical
switch236,phl1,1,3,57,0,warning
router237,nj1,64,2,65,0.64,warning
firewall238,phl1,83,1,5,0.26,warning
router239,phl1,150,0,58,0.0,critical
core240,dc1,9,1,20,0.69,ok
core241,nyc1,54,0,21,0.47,ok
switch242,nyc2,50,0,70,0.74,ok
core243,nyc1,24,1,74,1.4,warning
switch244,nyc2,102,6,47,0.41,critical
router245,nyc2,76,0,63,0.77,ok
router246,nyc1,101,2,40,0.53,warning
edge247,nyc1,71,10,72,0,critical
edge248,nyc2,56,1,36,0.84,warning
router249,phl1,163,5,18,0.81,critical
switch250,phl1,26,0,54,0.68,ok
router251,nyc1,47,13,22,0,critical
router252,nyc2,84,0,14,4.97,critical
firewall253,nyc2,37,1,5,0.06,ok
router254,nyc1,4,3,58,4.66,critical
core255,phl1,225,1,40,1.48,critical
switch256,dc1,92,2,39,1.18,warning
firewall257,nyc2,33,3,37,0,warning
edge258,nyc1,68,1,34,0.02,ok
ap259,nyc2,206,1,13,0.22,critical
switch260,nj1,54,0,62,0.03,ok
core261,nyc1,172,0,85,0.87,critical
switch262,phl1,260,0,86,0.78,critical
edge263,nyc1,74,9,50,0.92,critical
core264,nj1,39,6,66,3.13,critical
core265,nj1,187,6,38,1.58,critical
ap266,nyc2,20,0,75,2.94,critical
switch267,nyc1,6,8,77,0.41,critical
ap268,dc1,82,6,58,2.64,critical
ap269,dc1,1,3,27,0,warning
switch270,nj1,20,0,46,1.01,warning
router271,nj1,138,2,49,0.07,critical
router272,nj1,18,2,42,0.91,warning
edge273,nyc1,255,0,66,1.29,critical
ap274,nyc1,42,9,63,0,critical
firewall275,nyc1,237,0,50,0.86,critical
ap276,nj1,31,4,57,1.35,warning
ap277,nj1,258,4,44,0,critical
ap278,phl1,59,2,75,0.61,warning
edge279,dc1,203,0,60,1.78,critical
router280,phl1,84,0,25,0.18,warning
edge281,nyc2,53,8,99,1.18,critical
edge282,phl1,70,1,93,0,critical
edge283,nyc1,14,3,17,0,warning
router284,dc1,45,0,84,0,warning
router285,nyc2,139,3,70,0.5,critical
ap286,nyc1,43,2,58,0.54,warning
edge287,nyc2,94,0,66,0.15,warning
firewall288,dc1,111,0,30,0.45,warning
router289,dc1,60,0,37,1.4,warning
switch290,nyc1,1,16,32,1.56,critical
switch291,nj1,72,0,60,0.35,ok
switch292,nyc2,29,8,89,0,critical
core293,nyc2,85,0,66,0.88,warning
ap294,nyc2,62,1,52,1.96,warning
switch295,nyc2,50,12,90,0.26,critical
ap296,nj1,137,0,59,1.41,critical
switch297,nj1,159,0,54,0.06,critical
firewall298,nj1,76,6,55,0.91,critical
ap299,nyc2,63,0,35,0,ok
switch300,nyc1,29,1,47,0.65,ok
router301,dc1,23,0,48,0.65,ok
ap302,dc1,23,0,41,4.57,critical
core303,nyc2,71,0,48,0,ok
router304,nyc1,80,2,76,0.38,warning
router305,phl1,93,2,44,0.21,warning
edge306,nj1,70,1,56,0.33,ok
core307,phl1,103,0,33,0,warning
router308,nj1,84,11,45,0.19,critical
router309,nyc2,119,1,17,0.46,warning
switch310,phl1,36,4,44,0,warning
switch311,nyc2,51,0,36,0.36,ok
ap312,nj1,63,0,78,0.07,warning
ap313,phl1,47,0,72,0.13,warning
ap314,nj1,86,4,69,1.67,warning
switch315,phl1,66,1,51,0.88,warning
ap316,nyc2,1,0,37,0.46,ok
router317,nj1,54,4,34,0,warning
switch318,nj1,60,2,45,0.36,warning
ap319,nj1,11,0,30,0.47,ok
router320,dc1,51,4,68,1.36,warning
ap321,nyc1,29,12,63,0.39,critical
firewall322,nj1,1,0,41,0,ok
ap323,dc1,1,1,51,0.69,ok
firewall324,nj1,56,0,63,0.75,ok
ap325,phl1,22,2,74,0.73,warning
edge326,nyc2,86,0,46,0.62,warning
edge327,nj1,1,5,72,1.49,critical
core328,nyc1,40,7,56,1.57,critical
edge329,nyc1,80,2,46,0.41,warning
edge330,nyc2,100,3,37,0.02,warning
ap331,nj1,88,5,43,0.95,critical
switch332,phl1,6,2,14,0.47,warning
switch333,nyc1,79,1,71,0.51,warning
firewall334,nyc1,19,3,42,0.28,warning
switch335,nj1,41,0,36,0.46,ok
router336,dc1,40,1,41,0,ok
core337,phl1,162,1,54,0,critical
edge338,dc1,52,1,86,0.14,critical
core339,nj1,180,4,71,0,critical
router340,nyc1,39,8,28,1.21,critical
edge341,nj1,74,1,87,0,critical
firewall342,nyc2,63,0,45,1.08,warning
router343,nyc2,273,3,24,0.87,critical
router344,phl1,8,0,71,0,warning
core345,dc1,185,2,88,0.51,critical
ap346,phl1,69,5,37,0,critical
core347,dc1,25,3,45,0,warning
core348,dc1,94,10,40,0.97,critical
switch349,nyc1,32,0,54,0,ok
router350,dc1,233,0,47,0.4,critical
core351,phl1,7,0,30,0.57,ok
router352,nyc1,25,3,33,0.98,warning
switch353,phl1,19,4,42,0.25,warning
router354,nyc1,92,2,30,0.88,warning
core355,dc1,55,0,78,1.43,warning
router356,nyc2,82,11,60,0,critical
edge357,phl1,47,0,33,0,ok
switch358,phl1,132,0,99,0,critical
ap359,nyc2,1,0,31,0.22,ok
router360,dc1,69,3,21,0,warning
core361,dc1,6,0,23,0.05,ok
switch362,nyc2,39,4,59,0.46,warning
core363,dc1,107,7,55,1.24,critical
core364,nj1,93,0,34,0.21,warning
router365,nyc2,51,0,55,4.1,critical
core366,dc1,10,0,74,0,warning
router367,nyc1,53,0,30,1.03,warning
ap368,nyc2,28,2,34,0.13,warning
edge369,dc1,132,2,20,0,critical
core370,dc1,16,3,51,0.64,warning
core371,phl1,28,2,39,0.91,warning
core372,nyc1,120,9,7,0.91,critical
firewall373,nj1,42,0,29,0.97,warning
firewall374,dc1,13,1,37,0,ok
switch375,phl1,6,0,54,1.44,warning
edge376,dc1,4,0,30,4.84,critical
edge377,nyc1,113,2,28,0.62,warning
firewall378,nj1,6,0,57,0,ok
switch379,phl1,32,0,50,0.24,ok
firewall380,nj1,74,0,35,1.8,warning
ap381,nyc1,60,1,73,0.64,warning
switch382,nyc2,35,4,23,0.93,warning
edge383,phl1,190,0,71,0,critical
edge384,nyc2,46,0,56,1.27,warning
firewall385,dc1,94,2,21,0.7,warning
ap386,nj1,1,0,34,1.53,warning
firewall387,nyc2,65,0,29,0.55,ok
router388,nyc1,46,0,58,0.11,ok
router389,dc1,108,0,17,2.41,critical
ap390,dc1,1,1,52,0,ok
core391,phl1,183,2,57,0,critical
core392,nyc2,79,3,67,5.47,critical
router393,nyc1,182,1,53,0,critical
router394,nyc2,85,1,66,0,warning
core395,phl1,30,2,61,0.65,warning
switch396,nyc1,12,4,29,0,warning
core397,nj1,26,1,18,0,ok
firewall398,dc1,47,0,89,1.52,critical
switch399,dc1,224,3,70,1.77,critical
firewall400,phl1,8,0,61,0.24,ok
router401,nj1,86,4,53,0,warning
switch402,phl1,214,0,58,0.7,critical
firewall403,nyc1,77,0,14,0,ok
firewall404,nj1,36,1,75,0,warning
switch405,dc1,93,0,13,0.53,warning
ap406,nyc2,70,1,58,0,ok
core407,nj1,248,1,77,0.45,critical
edge408,phl1,83,2,22,0.2,warning
firewall409,nj1,56,0,30,1.05,warning
core410,nyc1,60,0,58,0.74,ok
edge411,nyc1,62,2,37,0,warning
core412,phl1,76,0,61,0.69,ok
router413,phl1,87,0,54,0.35,warning
edge414,nyc2,33,1,46,0.58,ok
core415,phl1,15,0,56,0.35,ok
firewall416,nj1,195,5,17,0.05,critical
edge417,nyc1,82,0,71,0.01,warning
router418,nj1,16,0,32,0.35,ok
switch419,dc1,23,0,50,0,ok
firewall420,phl1,80,0,51,0,ok
router421,dc1,271,0,43,1.09,critical
router422,phl1,91,0,42,2.09,critical
edge423,nyc1,52,0,52,1.72,warning
core424,nj1,65,1,87,0.46,critical
switch425,nj1,25,0,63,0,ok
firewall426,nyc2,8,2,37,1.17,warning
firewall427,nj1,37,1,77,0.46,warning
core428,nyc2,34,0,20,0.57,ok
switch429,nyc1,3,2,23,0.68,warning
edge430,nyc1,43,0,59,1.58,warning
firewall431,dc1,73,3,16,0.28,warning
switch432,nj1,151,7,20,0.54,critical
edge433,dc1,26,2,32,0.74,warning
edge434,nyc1,9,0,29,1.23,warning
firewall435,dc1,33,2,65,1.5,warning
core436,nj1,114,3,41,0.93,warning
ap437,nyc2,101,0,26,0.3,warning
firewall438,dc1,47,0,58,5.18,critical
router439,phl1,111,2,70,0.99,warning
router440,nj1,45,2,99,1.38,critical
edge441,dc1,80,0,37,0.29,ok
ap442,dc1,14,0,19,0.25,ok
firewall443,nyc2,57,1,49,0.48,ok
router444,nyc2,165,2,45,0.41,critical
router445,phl1,67,0,34,0.6,ok
firewall446,dc1,57,1,56,0,ok
switch447,dc1,68,0,40,1.37,warning
edge448,phl1,24,1,99,0.66,critical
firewall449,phl1,51,0,38,0.91,warning
switch450,nj1,218,0,99,0.82,critical
edge451,nyc1,81,0,48,1.6,warning
ap452,nyc1,227,3,18,0.58,critical
core453,nyc2,53,0,68,1.03,warning
edge454,phl1,34,0,94,1.24,critical
ap455,nyc1,47,0,17,0.4,ok
core456,nj1,101,2,58,0.76,warning
router457,phl1,67,0,41,0.69,ok
router458,dc1,14,0,30,0.23,ok
router459,dc1,182,0,58,0,critical
edge460,nyc2,217,1,72,0,critical
switch461,nyc1,14,0,35,1.3,warning
core462,phl1,134,6,38,0.43,critical
router463,phl1,1,0,41,0.23,ok
firewall464,nyc1,114,0,26,1.29,warning
core465,nyc2,146,0,60,0.63,critical
core466,nyc1,32,0,39,0.09,ok
switch467,dc1,59,0,39,0.55,ok
ap468,nj1,44,2,37,0.89,warning
switch469,nj1,12,2,49,1.28,warning
router470,nj1,30,5,74,0.3,critical
firewall471,dc1,155,1,54,0,critical
firewall472,nj1,1,8,56,0.86,critical
router473,dc1,60,0,44,0,ok
firewall474,phl1,61,12,22,1.23,critical
switch475,nj1,1,3,72,0,warning
edge476,phl1,24,0,44,0.02,ok
switch477,nyc1,180,0,39,0.63,critical
edge478,phl1,28,0,37,0,ok
router479,dc1,41,0,48,0.67,ok
firewall480,nj1,99,2,65,1.25,warning
core481,nyc1,1,0,83,0.76,warning
ap482,phl1,63,1,96,0,critical
core483,nyc2,78,1,32,0.32,ok
edge484,dc1,37,0,58,0.31,ok
switch485,nj1,49,10,25,0,critical
switch486,dc1,89,0,57,0.35,warning
switch487,phl1,74,1,46,0.21,ok
switch488,nyc1,38,1,37,0.04,ok
ap489,phl1,4,0,73,0.56,warning
router490,nyc2,46,0,26,0,ok
switch491,nyc2,27,1,67,1.15,warning
edge492,dc1,74,0,91,2.14,critical
firewall493,nj1,81,0,60,0.81,warning
ap494,nyc2,81,0,86,0,critical
edge495,nyc1,72,1,45,1.3,warning
edge496,phl1,21,3,23,0,warning
switch497,nyc2,34,1,92,0.09,critical
firewall498,nyc2,55,0,63,0,ok
switch499,dc1,1,2,44,0,warning
edge500,phl1,1,0,39,0.79,ok
